English,Arabic
medicine,دواء
medium,واسطة
meet,يجتمع
meeting,لقاء
member,عضو
membership,عضوية
memory,ذاكرة
mental,عقلي
mention,يذكر
menu,قائمة
mere,مجرد
merely,مجرد
mess,تعبث
message,رسالة
metal,فلز
meter,متر
method,طريقة
Mexican,المكسيكي
middle,وسط
might,قد
military,جيش
milk,حليب
million,مليون
mind,عقل _ يمانع
mine,الخاص بي
minister,وزير
minor,تحت السن القانوني
minority,الأقلية
minute,دقيقة
miracle,معجزة
mirror,مرآة
miss,يفتقد
missile,صاروخ
mission,بعثة
mistake,خطأ
mix,مزج
mixture,خليط
mm-hmm,mm-hmm.
mode,الوضع
model,نموذج
moderate,معتدل
modern,عصري
modest,محتشم
mom,أمي
moment,الوقت الحاضر
money,مال
monitor,مراقب
month,شهر
mood,مزاج
moon,قمر
moral,أخلاقي
more,أكثر
moreover,وعلاوة على ذلك
morning,صباح
mortgage,الرهن العقاري
most,عظم
mostly,خاصة
mother,أم
motion,حركة
motivation,التحفيز
motor,محرك
mount,تتعدد
mountain,جبل
mouse,الفأر
mouth,فم
move,نقل
movement,حركة
movie,فيلم
Mr,السيد
Mrs,السيدة
Ms,تصلب متعدد
much,كثير
multiple,مضاعف
murder,قتل
muscle,عضلة
museum,متحف
music,موسيقى
musical,موسيقي
musician,موسيقي او عازف
Muslim,مسلم
must,يجب
mutual,مشترك
my,لي
myself,نفسي
mystery,أحجية
myth,خرافة
naked,عارية
name,اسم
narrative,سرد
narrow,ضيق
nation,الأمة
national,وطني
native,محلي
natural,طبيعي >> صفة
naturally,بطبيعة الحال
nature,طبيعة سجية
near,قرب
nearby,مجاور
nearly,تقريبا
necessarily,بالضرورة
necessary,من الضروري
neck,رقبه
need,يحتاج
negative,نفي
negotiate,تفاوض
negotiation,تفاوض
neighbor,الجار
neighborhood,حي
neither,لا
nerve,عصب
nervous,متوتر
net,صافي
network,شبكة الاتصال
never,أبدا
nevertheless,مع ذلك
new,الجديد
newly,حديثا
news,الإخبارية
newspaper,جريدة
next,التالي
nice,لطيف - جيد
night,ليل
nine,تسع
no,لا
nobody,لا أحد
nod,إيماءة
noise,الضوضاء
nomination,ترشيح
none,لا أحد
nonetheless,ومع ذلك
nor,ولا
normal,عادي
normally,بشكل طبيعي
north,شمال
northern,شمالي
nose,أنف
not,ليس
note,ملاحظة
nothing,ولا شيء
notice,تنويه
notion,فكرة
novel,رواية
now,حاليا
nowhere,في أي مكان
n't,غير
nuclear,نووي
number,عدد
numerous,كثير
nurse,ممرض
nut,بندق
object,موضوع
objective,هدف
obligation,فرض
observation,الملاحظة
observe,يراقب
observer,مراقب
obtain,الحصول على
obvious,بديهي
obviously,بوضوح
occasion,مناسبات
occasionally,فرح بتجن
occupation,احتلال
occupy,تشغل
occur,تحدث
ocean,محيط
odd,الفردية
odds,احتمال
of,من
off,إيقاف
offense,جريمة
offensive,هجومي
offer,يعرض
office,مكتب
officer,ضابط
official,الرسمية
often,غالبا
oh,أوه
oil,نفط
ok,نعم
okay,حسنا
old,قديم
Olympic,الأولمبية
on,تشغيل
once,بمجرد
one,واحد
ongoing,جاري التنفيذ
onion,بصلة
online,عبر الانترنت
only,فقط
onto,على
open,افتح
opening,افتتاح
operate,العمل
operating,عمل
operation,عملية
operator,المشغل أو العامل
opinion,رأي
opponent,الخصم
opportunity,فرصة
oppose,معارضة
opposite,ضد
opposition,معارض
option,اختيار
or,أو
orange,البرتقالي
order,ترتيب
ordinary,عادي
organic,عضوي
organization,منظمة
organize,تنظم
orientation,اتجاه
origin,الأصل
original,أصلي
originally,في الأصل
other,آخر
others,الآخرين
otherwise,خلاف ذلك
ought,ينبغي
our,لنا
ourselves,أنفسنا
out,خارج
outcome,حصيلة
outside,في الخارج
oven,فرن
over,على
overall,شاملة
overcome,التغلب على
overlook,تطل
owe,مدينون
own,ملك
owner,صاحب
pace,خطوة
pack,حزمة
package,صفقة
page,صفحة
pain,الم
painful,مؤلم
paint,رسم
painter,دهان
painting,لوحة
pair,زوج
pale,باهت
Palestinian,فلسطيني
palm,كف، نخلة
pan,مقلاة
panel,لوجة
pant,يلهث
paper,ورق
parent,الأبوين
park,منتزه
parking,موقف سيارات
part,جزء
participant,مشارك
participate,مشاركة
participation,مشاركة
particular,خاص
particularly,خصوصا
partly,جزئيا
partner,شريك
partnership,شراكة
party,حفل
pass,يمر
passage,الممر
passenger,راكب
passion,شغف
past,ماضي
patch,رقعة قماشية
path,طريق
patient,صبور
pattern,نمط
pause,وقفة
pay,يدفع
payment,قسط
PC,الكمبيوتر
peace,سلام
peak,قمة
peer,نظير
penalty,ضربة جزاء
people,اشخاص
pepper,فلفل
per,لكل
perceive,تصور شعور
percentage,النسبة المئوية
perception,المعرفة
perfect,في احسن الاحوال
perfectly,تماما
perform,نفذ
performance,أداء
perhaps,ربما
period,فترة
permanent,دائم
permission,إذن
permit,يسمح
person,شخص
personal,شخصي
personality,الشخصية
personally,شخصيا
personnel,شؤون الموظفين
perspective,إنطباع
persuade,اقناع
pet,حيوان أليف
phase,مرحلة
phenomenon,ظاهرة
philosophy,فلسفة
phone,هاتف
photo,صورة فوتوغرافية
photograph,تصوير
photographer,مصور فوتوغرافي
phrase,العبارة
physical,بدني
physically,جسديا
physician,الطبيب المعالج
piano,بيانو
pick,قطف او يقطف
picture,صورة
pie,فطيرة
piece,قطعة
pile,كومة
pilot,طيار
pine,صنوبر
pink,زهري
pipe,يضخ
pitch,ملعب كورة قدم
place,مكان
plan,خطة
plane,طائرة
planet,كوكب
planning,تخطيط
plant,مصنع
plastic,بلاستيك
plate,طبق
platform,برنامج
play,لعب
player,لاعب
please,من فضلك
pleasure,بكل سرور
plenty,كثير
plot,قطعة
plus,زائد
PM,مساء
pocket,جيب
poem,قصيدة
poet,شاعر
poetry,الشعر
point,نقطة
pole,عمود
police,شرطة
policy,سياسات
political,سياسي
politically,سياسيا
politician,سياسي
politics,سياسة
poll,تصويت
pollution,التلوث
pool,حمام سباحة
poor,مسكين
pop,بث
popular,شائع
population,تعداد السكان
porch,رواق .. شرفة بيت ارضي
port,ميناء
portion,جزء
portrait,لوحة
portray,تصوير
pose,يشير إلى
position,موقع
positive,إيجابي
possess,يمتلك
possibility,إمكانية
possible,المستطاع
possibly,ربما
post,بريد
pot,وعاء
potato,البطاطس
potential,القدره
potentially,يحتمل
pound,جنيه
pour,يصب
poverty,فقر
powder,مسحوق
power,قوة
powerful,قوي
practical,عملي
practice,حاجة
pray,صلى
prayer,دعاء
precisely,بدقة
predict,يتنبأ
prefer,تفضل
preference,الأفضلية
pregnancy,حمل
pregnant,حامل
preparation,تحضير
prepare,إعداد
prescription,وصفة طبية
presence,حضور
present,هدية
presentation,عرض
preserve,يحفظ
president,رئيس
presidential,الرئاسة
press,صحافة
pressure,الضغط
pretend,يدعي
pretty,جميلة
prevent,يحول دون
previous,السابق
previously,سابقا
price,سعر
pride,الاعتزاز
priest,كاهن
primarily,بالدرجة الأولى
primary,الأولية
prime,براي
principal,المالك
principle,المبدأ
print,مطبعة
prior,قبل
priority,أولوية
prison,السجن
prisoner,أسير
privacy,الإجمالية
private,نشر
probably,المحتمل
problem,مشكلة
procedure,إجراء
proceed,تقدم
process,معالجة
produce,ينتج
producer,منتج
product,المنتج
production,إنتاج
profession,مهنة
professional,المحترفين
professor,دكتور جامعى
profile,الملف الشخصي
profit,ربح
program,برنامج
progress,تقدم
project,مشروع
prominent,بارز
promise,يعد
promote,تروج \ يشجع \ يعزز \ ينمى \ يطور
prompt,مستعجل
proof,دليل
proper,سليم
properly,بصورة صحيحة
property,خاصية
proportion,نسبة
proposal,اقتراح
propose,اقترح
proposed,مقترح
prosecutor,المدعي العام
prospect,احتمال
protect,يحمي
protection,الحماية
protein,بروتين
protest,وقفة احتجاجية
proud,فخور
prove,إثبات
provide,يمد
provider,مزود
province,المحافظة
provision,تقديم
psychological,نفسي
psychologist,الطبيب النفسي
psychology,علم النفس
public,عام
publication,نشر
publicly,علانية
publish,ينشر
publisher,الناشر
pull,يحذب
punishment,عقاب
purchase,عملية الشراء
pure,نقي
purpose,غرض
pursue,لاحق
push,يدفع
put,وضع
qualify,مؤهلات
quality,جودة
quarter,ربع
quarterback,قورتربك
question,سؤال
quick,بسرعة
quickly,بسرعة
quiet,هادئ
quietly,بهدوء
quit,استقال
quite,الى حد كبير
quote,اقتبس
race,العنصر
racial,عرقي
radical,متطرف
radio,مذياع
rail,سكة حديدية
rain,مطر
raise,رفع
range,نطاق
rank,مرتبة
rapid,سريعون
rapidly,بسرعة
rare,نادر
rarely,نادرا
rate,معدل
rather,على الاصح
rating,تقييم
ratio,نسبة
raw,الخام
reach,يصل
react,تتفاعل
reaction,تفاعل
read,اقرأ
reader,قارئ
reading,قراءة
ready,جاهز
real,حقيقة
reality,واقع
realize,تدرك
really,هل حقا
reason,السبب
reasonable,مسؤول
recall,اعد الاتصال
receive,تسلم
recent,حديث
recently,حديثا
recipe,وصفة
recognition,التعرف على
recognize,اتعرف على
recommend,نوصي
recommendation,توصية
record,سجل
recording,تسجيل
recover,استعادة
recovery,التعافي
recruit,تجنيد
red,أحمر
reduce,خفض
reduction,تخفيض
refer,أشير
reference,المرجعي
reflect,يعكس
reflection,انعكاس
reform,اعادة تشكيل
refugee,لاجئ
refuse,رفض
regard,تحية
regarding,بخصوص
regardless,بغض النظر
regime,النظام الحاكم
region,منطقة
regional,إقليمي
register,تسجيل
regular,عادي
regularly,بشكل منتظم
regulate,تنظيم
regulation,اللائحة
reinforce,تعزز
reject,رفض
relate,ترتبط
relation,علاقة
relationship,صلة
relative,نسبيا
relatively,نسبيا
relax,يستريح
release,إفراج
relevant,ذو صلة
relief,تضاريس
religion,دين
religious,متدين
rely,يعتمد
remain,تظل
remaining,متبقي
remarkable,لافت للنظر
remember,تذكر
remind,يتذكر
remote,التحكم عن بعد
remove,إزالة
repeat,كرر
repeatedly,مرارا وتكرارا
replace,يحل محل
reply,الرد
report,أبلغ عن
reporter,مراسل
represent,تركيز
representation,التمثيل
representative,وكيل
Republican,جمهوري
reputation,سمعة
request,طلب
require,يتطلب
requirement,المتطلبات
research,ابحاث
researcher,الباحث
resemble,تشابه
reservation,تحفظ
resident,مقيم
resist,يقاوم
resistance,مقاومة
resolution,الدقة
resolve,حل
resort,ملتجأ
resource,موارد
respect,احترام
respond,رد
respondent,المدعى عليه
response,استجابة
responsibility,المسئولية
responsible,مسؤول
rest,استراحة
restaurant,مطعم
restore,يعيد
restriction,تقييد
result,نتيجة
retain,يحتفظ
retire,تقاعد
retirement,التقاعد
return,إرجاع
reveal,يكشف
revenue,إيرادات
review,إعادة النظر
revolution,ثورة
rhythm,على نفس المنوال
rice,أرز
rich,ثري
rid,يتخلص
ride,اركب
rifle,بندقية
right,حق
ring,حلقة
rise,ترتفع
risk,مخاطرة
river,نهر
road,طريق
rock,صخر
role,وظيفة
roll,لفافة
romantic,رومانسي
roof,سقف
room,مجال
root,جذر
rope,حبل
rose,الوردة
rough,الخام
roughly,بقسوة
round,مستدير
route,طريق
routine,نمط
row,صف
rub,فرك
rule,القاعدة
run,يركض
running,ادارة
rural,قروي
rush,يسرع
Russian,الروسية
sacred,مقدس
sad,حزين
safe,آمنة
safety,سلامة
sake,مصلحة
salad,سلطة
salary,راتب
sale,تخفيض السعر
sales,مبيعات
salt,ملح
same,نفس
sample,عينة
sanction,عقوبة
sand,رمل
satellite,الأقمار الصناعية
satisfaction,إشباع
satisfy,رضا
sauce,صلصة
save,حفظ
saving,إنقاذ
say,قل
scale,مقياس
scandal,فضيحة
scared,مفزوع
scenario,سيناريو
scene,مشهد
schedule,جدول
scheme,مخطط
scholar,مختص بمجال علمي
scholarship,منحة دراسية
school,مدرسة
science,علم
scientific,علمي
scientist,عالم
scope,مجال
score,نتيجة
scream,الصراخ
screen,شاشة
script,النصي
sea,لحر
search,بحث
season,الموسم
seat,مقعد
second,ثانيا
secret,سر
secretary,سكرتير
section,الجزء
sector,قطاع
secure,يؤمن
security,الأمان
see,ارى
seed,بذرة
seek,طلب
seem,بدا
segment,قطعة
seize,حجز اسر يستولى
select,تحديد
selection,اختيار
self,الذات
sell,يبيع
Senate,مجلس الشيوخ
senator,سيناتور
send,يرسل
senior,أول
sense,يشعر
sensitive,حساس
sentence,جملة او حكم على
separate,منفصل
sequence,تسلسل
series,سلسلة
serious,جدي
seriously,عنجد
serve,تخدم
service,الخدمات
session,حصة
set,يضع
setting,ضبط
settle,تسوية
settlement,مستوطنة
seven,سبعة
several,العديد من
severe,شديدة
sex,الجنس
sexual,الجنس
shade,ظل
shadow,ظل
shake,هزة
shall,سوف
shape,شكل
share,شارك
sharp,حاد
she,هي
sheet,ورقة
shelf,رفوف
shell,صدفة
shelter,مأوى
shift,تحول
shine,يلمع
ship,سفينة
shirt,قميص
shit,القرف
shock,صدمة
shoe,حذاء
shoot,أطلق النار
shooting,اطلاق الرصاص
shop,متجر
shopping,التسوق
shore,دعم
short,قصيرة
shortly,قريبا
shot,لقطة
should,يجب
shoulder,كتف
shout,يصيح، يصرخ، صيحة
show,مشاهده
shower,دش
shrug,تجاهل
shut,اغلق
sick,مرض
side,الجانب
sigh,تنهد
sight,مشهد
sign,لافتة
signal,الإشارة
significance,الدلالة
significant,بارز
significantly,بشكل كبير
silence,الصمت
silent,صامتة
silver,فضة
similar,مشابه
similarly,بصورة مماثلة
simple,بسيط
simply,ببساطة
sin,سين
since,حيث
sing,يغني
singer,مغني
single,غير مرتبطة
sink,حوض
sir,سيدي المحترم
sister,أخت
sit,يجلس
site,موقع
situation,قارة
six,ستة
size,بحجم
ski,تزلج
skill,مهارة
skin,جلد
sky,سماء
slave,شريحة
sleep,نايم
slice,شريحة
slide,الانزلاق
slight,طفيف
slightly,طفيف
slip,ينزلق
slow,بطيء
slowly,ببطء
small,صغير
smart,ذكي
smell,يشم
smile,ابتسامة
smoke,دخان
smooth,ناعم
snap,يفرقع، ينفجر
snow,ثلج
so,وبالتالي
so-called,ما يسمى
soccer,كرة القدم
social,اجتماعي
society,المجتمع
soft,لين
software,البرمجيات
soil,تربة
solar,شمسي
soldier,جندي
solid,صلب
solution,المحلول
solve,يحل
some,بعض
somebody,شخص ما
somehow,بطريقة ما
someone,شخصا ما
something,شيئا ما
sometimes,بعض الأحيان
somewhat,قليلا
somewhere,مكان ما
son,ابن
song,أغنية
soon,هكذا
sophisticated,تعقيدا
sorry,آسف
sort,نوع
soul,روح
sound,يبدو
soup,حساء
source,مصدر
south,جنوب
southern,الجنوبي
Soviet,السوفيتي
space,فضاء
Spanish,الأسبانية
speak,تحدث
speaker,مكبر الصوت
special,مميز
specialist,متخصص
species,محيط
specific,محدد
specifically,خاصة
speech,خطاب
speed,سرعة
spend,أنفق
spending,الإنفاق
spin,غزل
spirit,روح
spiritual,روحانية
split,الانقسام
spokesman,المتحدث باسم
sport,رياضة
spot,بقعة
spread,الانتشار
spring,الخريف
square,مربع
squeeze,يعصر
stability,المزيد
stable,مستقر
staff,طاقم عمل
stage,المسرح
stair,سلم
stake,حصة
stand,يقف
standard,اساسي
standing,يقف
star,نجمة
stare,التحديق
start,بداية
state,حالة
statement,بيان
station,محطة
statistics,الإحصاء
status,الحالة
stay,البقاء
steady,ثابت
steal,يسرق
steel,الصلب
step,خطوة
stick,عصا
still,ساكن
stir,ضجة
stock,الأوراق المالية
stomach,المعدة |
stone,حجر
stop,قف
storage,تخزين
store,متجر
storm,عاصفه
story,قصة
straight,مباشرة
strange,غريب
stranger,شخص غريب
strategic,استراتيجي
strategy,إستراتيجية
stream,مجرى
street,شارع
strength,الخضوع ل
strengthen,تعزيز - يقوي
stress,ضغط عصبى
stretch,تمتد
strike,إضراب
string,سلسلة
strip,قطاع
stroke,السكتة الدماغية
strong,قوي
strongly,بقوة
structure,بنية
struggle,صراع
student,طالب
studio,استوديو
study,دراسة
stuff,أمور
stupid,غبي
style,نمط
subject,موضوعات
submit,إرسال
subsequent,تالي
substance,مستوى
substantial,حقيقي
succeed,ينجح
success,النجاح
successful,ناجح
successfully,بنجاح
such,مثل
sudden,مفاجئ
suddenly,فجأة
sue,قاضى
suffer,يعاني
sufficient,كاف
sugar,السكر
suggest,يقترح
suggestion,اقتراح
suicide,الانتحار
suit,تناسب
summer,الصيف
summit,قمة
sun,الشمس
super,ممتاز
supply,إمداد
support,الدعم
supporter,مؤيد، مشجع، داعم
suppose,افترض
supposed,مفترض
Supreme,أعلى فائق
sure,بالتأكيد
surely,بالتاكيد
surface,السطحية
surgery,الجراحة
surprise,مفاجئة
surprised,فوجئ
surprising,مفاجأة
surprisingly,من المستغرب
surround,تحيط به
survey,الدراسة الاستقصائية
survival,نجاة
survive,ينجو
survivor,الناجين
suspect,مشتبه فيه
sustain,الحفاظ
swear,يقسم
sweep,مسح
sweet,حلو
swim,السباحة
swing,تأرجح
switch,تحول
symbol,رمز
symptom,علامة مرض
system,النظام
table,طاولة
tablespoon,ملعقة طعام
tactic,تكتيك
tail,ذيل
take,يأخذ
tale,حكاية
talent,موهبة
talk,حديث
tall,طويل
tank,خزان
tap,صنبور
tape,الشريط
target,استهداف
task,مهمة
taste,المذاق
tax,ضريبة
taxpayer,دافع الضرائب
tea,شاي
teach,يعلم
teacher,معلم
teaching,تعليم
team,فريق
tear,دمعة
teaspoon,ملعقة صغيرة
technical,تقني
technique,تقنية
technology,تقنية
teen,في سن المراهقة
teenager,مراهقة
telephone,هاتف
telescope,تلسكوب
television,التلفاز
tell,يخبار
temperature,درجة الحرارة
temporary,مؤقت
ten,عشرة
tend,ينزع
tendency,نزعة
tennis,تنس
tension,توتر
tent,خيمة
term,مصطلح
terms,مصطلحات
terrible,كريه
territory,منطقة
terror,الإرهاب
terrorism,الإرهاب
terrorist,إرهابي
test,اختبار
testify,شهد
testimony,شهادة
testing,اختبارات
text,نص
than,من
thank,شكر
thanks,شكرا
that,الذي - التي
the,ال
theater,مسرح
their,هم
them,معهم
theme,سمة
themselves,أنفسهم
then,من ثم
theory,نظرية
therapy,علاج نفسي
there,هناك
therefore,وبالتالي
these,هؤلاء
they,أنهم
thick,سميك
thin,نحيف
thing,شيء
think,فكر في
thinking,التفكير
third,الثالث
thirty,ثلاثون
this,هذه
those,أولئك
though,على أية حال
thought,فكر
thousand,ألف
threat,تهديد
threaten,هدد
three,ثلاثة
throat,حلق
through,عبر
throughout,على مدار
throw,يرمي
thus,هكذا
ticket,تذكرة
tie,ربطة عنق
tight,ضيق
time,زمن
tiny,صغير الحجم
tip,تلميح
tire,إطار العجلة
tired,مرهق
tissue,الانسجة
title,لقب
to,إلى
tobacco,التبغ
today,اليوم
toe,إصبع قدم
together,سويا
tomato,طماطم
tomorrow,غدا
tone,نغمة، رنه
tongue,لسان
tonight,هذه الليلة
too,جدا
tool,أداة
tooth,سن
top,أعلى
topic,عنوان
toss,رمى
total,المجموع
totally,تماما
touch,لمس. اتصال. صلة
tough,قاس
tour,جولة
tourist,سائح
tournament,المسابقة
toward,باتجاه
towards,من اتجاه
tower,برج
town,مدينة
toy,عروسه لعبه
trace,أثر
track,مسار
trade,تجارة
tradition,التقليد
traditional,التقليديين
traffic,حركة المرور
tragedy,مأساة
trail,ممر المشاة
train,يدرب
training,تمرين
transfer,نقل
transform,تحول
transformation,تحويل
transition,انتقال
translate,ترجمة
transportation,وسائل النقل
travel,السفر
treat,يعامل
treatment,علاج او معاملة
treaty,معاهدة
tree,شجرة
tremendous,هائل
trend,اتجاه
trial,التجربة
tribe,قبيلة
trick,حيلة
trip,رحلة قصيرة
troop,قوات
trouble,مشكلة
truck,شاحنة
TRUE,حقيقية
truly,حقا
trust,ثقة
truth,حقيقة
try,محاولة
tube,الة النفخ
tunnel,نفق
turn,منعطف أو دور
TV,تلفزيون
twelve,اثني عشر
twenty,عشرون
twice,مرتين
twin,التوأم
two,اثنين
type,نوع
typical,عادي
typically,عادة
ugly,البشع
ultimate,ذروة
ultimately,أخيرا
unable,غير قادر
uncle,عمي أو خالي
under,تحت
undergo,خضع
understand,تفهم
understanding,فهم
unfortunately,لسوء الحظ
uniform,زى موحد
union,اتحاد
unique,فريدة من نوعها
unit,وحدة
United,المتحدة
universal,عالمي
universe,كون
university,جامعة
unknown,غير معروف
unless,ما لم
unlike,على عكس
unlikely,من غير المرجح
until,حتى
unusual,غير عادي
up,فوق
upon,على
upper,UPPER.
urban,الحضاري
urge,حث
us,نحن
use,استعمال
used,تستخدم
useful,مفيد
user,المستعمل
usual,معتاد
usually,عادة
utility,خدمة
vacation,عطلة
valley,الوادي
valuable,ذو قيمة
value,القيمة
variable,عامل
variation,الاختلاف
variety,تشكيلة
various,متنوع
vary,يتغير
vast,واسع
vegetable,الخضروات
vehicle,مركبة
venture,المغامر
version,إصدار
versus,عكس
very,جدا
vessel,وعاء
veteran,محارب قديم
via,عبر
victim,ضحية
victory,فوز
video,فيديو
view,عرض
viewer,مشاهد
village,قرية
violate,انتهاك
violation,عنيف
violence,عنف
violent,عنيف
virtually,عمليا
virtue,فضيلة
virus,فايروس
visible,مرئي
vision,رؤية
visit,يزور
visitor,الزائر
visual,المرئية
vital,مهم للغاية
voice,صوت بشري
volume,الصوت
volunteer,تطوع
vote,تصويت
voter,الناخب
vs,ضد
vulnerable,معرض
wage,أجر
wait,انتظر
wake,استيقظ
walk,يمشي
wall,حائط
wander,تجول
want,يريد
war,حرب
warm,دافئ
warn,حذر
warning,تحذير
wash,غسل
waste,قمامة
watch,راقب
water,ماء
wave,موجة
way,طريق
we,نحن
weak,ضعيف
wealth,ثروة
wealthy,الأثرياء
weapon,سلاح
wear,يرتدي
weather,طقس
wedding,زفاف
week,أسبوع
weekend,عطلة نهاية الاسبوع
weekly,أسبوعي
weigh,وزن
weight,وزن
welcome,أهلا بك
welfare,خير
well,حسنا
west,غرب
western,الغربي
wet,مبلل
what,ماذا او ما
whatever,ايا كان
wheel,عجلة
when,متي
whenever,كلما كان
where,أين
whereas,بينما
whether,سواء
which,أي
while,في حين
whisper,همسة
white,أبيض
who,من الذى
whole,كامل
whom,من
whose,ملك من
why,لماذا
wide,واسع
widely,على نطاق واسع
widespread,واسع الانتشار
wife,زوجة
wild,بري
will,إرادة
willing,راغب
win,يفوز
wind,ريح
window,نافذة او شباك
wine,خمر
wing,جناح
winner,الفائز
winter,شتاء
wipe,يمسح
wire,الأسلاك
wisdom,حكمة
wise,حكيم
wish,يتمنى
with,مع
withdraw,ينسحب
within,داخل
without,بدون
witness,الشاهد
woman,النساء
wonder,يتساءل
wonderful,رائع
wood,خشب
wooden,خشبي
word,كلمة
work,الشغل
worker,عامل
working,عمل
works,ويعمل
workshop,ورشة عمل
world,العالمية
worried,قلق
worry,قلق
worth,قيمة
would,سيكون
wound,جرح
wrap,لف
write,اكتب
writer,كاتب
writing,جاري الكتابة
wrong,خاطئ
yard,حديقة منزل
yeah,نعم
year,عام
yell,قال بصوت عال
yellow,أصفر
yes,نعم
yesterday,في الامس
yet,بعد
yield,أثمر
you,أنت
young,صغيرة
your,لك
yours,لك
yourself,نفسك
youth,شباب
zone,منطقة
